permission
full network access
view network connections
modify or delete the contents of your USB storage
prevent device from sleeping
receive data from Internet
read the contents of your USB storage
control vibration
precise location (GPS and network-based)
take pictures and videos
view Wi-Fi connections
read phone status and identity
run at startup
record audio
approximate location (network-based)
find accounts on the device
read the contents of your USB storage
approximate location (network-based)
read Google service configuration
change your audio settings
retrieve running apps
draw over other apps
find accounts on the device
connect and disconnect from Wi-Fi
precise location (GPS and network-based)
pair with Bluetooth devices
use accounts on the device
read your contacts
directly call phone numbers
install shortcuts
change network connectivity
set an alarm
modify system settings
access Bluetooth settings
close other apps
disable your screen lock
expand/collapse status bar
access USB storage filesystem
capture video output
Google Play license check
send sticky broadcast
modify your contacts
read Home settings and shortcuts
capture audio output
control flashlight
capture secure video output
download files without notification
view network connections
read your contacts
access extra location provider commands
uninstall shortcuts
create accounts and set passwords
full license to interact across users
add or remove accounts
set wallpaper
read sensitive log data
read sensitive log data
delete all app cache data
manage document storage
read your own contact card
Broadcast data messages to apps.
change system display settings
directly call phone numbers
take pictures and videos
view Wi-Fi connections
reorder running apps
toggle sync on and off
measure app storage space
write Home settings and shortcuts
read calendar events plus confidential information
add or modify calendar events and send email to guests without owners\ knowledge
interact across users
read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages
allow Wi-Fi Multicast reception
read sync statistics
retrieve running apps
Modify Google service configuration
read calendar events plus confidential information
Send download notifications.
bind to a wallpaper
make/receive SIP calls
update component usage statistics
read battery statistics
control media playback and metadata access
bind to an accessibility service
Access download manager.
control Near Field Communication
read sync settings
modify phone state
modify app ops statistics
